No.,英語,品詞,日本語,学年,ページ,単元,
167,fish,名,魚,1,18,SaL1,
168,lunch,名,昼食,1,18,SaL1,
169,king,名,王、国王,1,18,SaL1,
170,math,名,数学,1,18,SaL1,
171,English,名,英語,1,18,SaL1,
172,strong,形,強い、じょうぶな,1,18,SaL1,
173,bath,名,入浴,1,18,SaL1,
174,clock,名,置き時計,1,18,SaL1,
175,lake,名,湖、湖水,1,18,SaL1,
176,bike,名,自転車,1,18,SaL1,
178,shrine,名,神社,1,18,SaL1,
179,nose,名,鼻,1,18,SaL1,
180,class,名,学級、組、クラス,1,20,U2-1,
181,our,代,私たちの,1,20,U2-1,
182,Canada,名,カナダ,1,20,U2-1,
183,America,名,アメリカ（合衆国）［正式名称はthe United States of America］,1,20,U2-1,
184,Ms.,名,［女性をさして］…さん、先生,1,20,U2-1,
185,Mr.,名,［男性をさして］…さん、先生,1,21,U2-1,
186,he,代,彼は［が］,1,20,U2-1,
187,she,代,彼女は［が］,1,20,U2-1,
188,new,形,新しい、新任の,1,20,U2-1,
189,teacher,名,先生、教師,1,20,U2-1,
190,on,前,【所属】…の一員で、…に属して,1,21,U2-1,
191,team,名,チーム、組,1,21,U2-1,
192,at,前,【評価の対象】…は、…が、…に関しては,1,21,U2-1,
193,cool,形,かっこいい,1,21,U2-1,
194,be good at (...ing),連,（…することが）じょうずだ、得意だ,1,21,U2-1,
195,he’s,短,he is,1,20,U2-1,
196,she’s,短,she is,1,20,U2-1,
197,English,形,英語の、英語で書かれた,1,20,U2-1,
198,good,形,じょうずな、うまい,1,21,U2-1,
199,Chinese,形,中国の,1,22,U2-2,
200,cannot,助,…できない,1,23,U2-2,
201,some,形,いくつかの、いくらかの、少しの,1,23,U2-2,
202,parent,名,親、［parentsで］親たち、両親,1,23,U2-2,
203,China,名,中国,1,23,U2-2,
204,food,名,食べ物,1,22,U2-2,
205,father,名,父、お父さん,1,22,U2-2,
206,can,助,【能力・可能】…することができる,1,22,U2-2,
207,make,動,…を作る、得る,1,22,U2-2,
208,very,副,非常に、とても、［否定文で］あまり（…でない）,1,22,U2-2,
209,well,副,じょうずに、うまく、よく,1,22,U2-2,
211,read,動,読む、読んで知る,1,23,U2-2,
212,really,副,本当ですか、へえ、そうなんだ,1,23,U2-2,
213,see,動,わかる、理解する,1,23,U2-2,
214,I see.,連,なるほど。わかった。,1,23,U2-2,
215,that’s,短,that is,1,22,U2-2,
216,can’t,短,cannot,1,23,U2-2,
217,excuse,動,…を許す,1,24,U2-3,
218,oops,間,おっと、うわっ、しまった,1,24,U2-3,
219,here,副,さあ、ほら,1,24,U2-3,
220,welcome,形,歓迎される,1,24,U2-3,
221,your,代,あなた（たち）の,1,24,U2-3,
222,thank,動,…に感謝する,1,24,U2-3,
223,it,代,それは［が］,1,24,U2-3,
224,bird,名,鳥,1,25,U2-3,
225,Excuse me.,連,すみません。失礼ですが。,1,24,U2-3,
226,Here you are. ,連,はい、どうぞ。,1,24,U2-3,
227,Thank you.,連,ありがとう。,1,24,U2-3,
228,You’re welcome.,連,どういたしまして。,1,24,U2-3,
229,you’re,短,you are,1,24,U2-3,
230,it’s,短,it is,1,24,U2-3,
231,that,代,あれ、それ、あの［その］人［もの、こと］,1,24,U2-3,
232,are,動,（we theyなど）いる、ある,1,24,U2-3,
233,e-mail,名,Eメール,1,26,SaL2,
234,May,名,5月,1,26,SaL2,
235,green,名/形,緑（の）,1,26,SaL2,
236,tea,名,茶、紅茶,1,26,SaL2,
237,blue,名/形,青（い）,1,26,SaL2,
238,juice,名,ジュース,1,26,SaL2,
239,zoo,名,動物園,1,27,SaL2,
240,book,名,本,1,27,SaL2,
241,train,名,列車、電車,1,26,SaL2,
242,rain,名,雨,1,26,SaL2,
243,glue,名,接着剤、のり,1,26,SaL2,
244,fruit,名,果物、果実,1,26,SaL2,
245,beef,名,牛肉,1,26,SaL2,
246,sea,名,海、海洋,1,26,SaL2,
247,season,名,季節,1,26,SaL2,
248,peach,名,モモ,1,26,SaL2,
249,day,名,日、1日,1,27,SaL2,
250,beach,名,浜、海辺、ビーチ,1,26,SaL2,
251,speak,動,（ある言語）を話す,1,26,SaL2,
252,rainy,形,雨の、雨の多い,1,26,SaL2,
253,cheese,名,チーズ,1,26,SaL2,
254,room,名,部屋,1,27,SaL2,
255,classroom,名,教室,1,27,SaL2,
256,swimming pool,名,（水泳用の）プール,1,27,SaL2,
257,cook,動,（…を）料理する,1,27,SaL2,
258,cooking,名,料理、料理法,1,27,SaL2,
259,textbook,名,教科書,1,27,SaL2,
260,notebook,名,ノート,1,27,SaL2,
261,today,名/副,今日（は）、現在では,1,27,SaL2,
262,usually,副,たいてい、ふつう,1,27,SaL2,
263,drink,動,…を飲む,1,27,SaL2,
264,green tea,名,緑茶,1,27,SaL2,
266,symbol,名,シンボル、象徴、記号,1,32,U3-1,
268,interesting,形,おもしろい、興味深い,1,32,U3-1,
269,favorite,形,いちばん好きな、お気に入りの,1,32,U3-1,
270,character,名,登場人物,1,33,U3-1,
271,also,副,…もまた、そのうえ,1,33,U3-1,
272,what,代,何、どんなもの［こと］,1,32,U3-1,
273,family,名,一族,1,32,U3-1,
274,who,代,だれ、だれが,1,33,U3-1,
275,why,副,なぜ、どうして,1,33,U3-1,
276,brave,形,勇敢な、勇ましい,1,33,U3-1,
277,kind,形,親切な、やさしい,1,33,U3-1,
278,what’s,短,what is,1,32,U3-1,
279,who’s,短,who is,1,33,U3-1,
280,the,冠,［一度述べた名詞をくり返す］その、この、あの,1,32,U3-1,
281,around,前,…の近くに,1,34,U3-2,
282,after,前,…のあとに［で］,1,35,U3-2,
283,online,副,オンラインで,1,35,U3-2,
284,live,動,住む、住んでいる、生きる、暮らす、ずっと残る,1,34,U3-2,
285,come,動,来る、（相手のところへ・相手と同方向へ）行く、巡ってくる,1,34,U3-2,
286,by,前,【手段・方法・原因】…によって,1,34,U3-2,
287,walk,動,（…を）歩く、歩いていく［くる］,1,34,U3-2,
288,when,副,いつ、どんなときに,1,35,U3-2,
289,study,動,（…を）勉強する、研究する,1,35,U3-2,
290,after school,連,放課後（に）,1,35,U3-2,
291,week,名,週、1週間,1,35,U3-2,
292,Sunday,名,日曜日,1,35,U3-2,
293,Monday,名,月曜日,1,35,U3-2,
294,Tuesday,名,火曜日,1,35,U3-2,
295,Wednesday,名,水曜日,1,35,U3-2,
296,Thursday,名,木曜日,1,35,U3-2,
297,Friday,名,金曜日,1,35,U3-2,
298,Saturday,名,土曜日,1,35,U3-2,
299,here,名,ここ,1,34,U3-2,
300,how,副,【方法・手段】どのようにして、どんなふうに,1,34,U3-2,
301,to,前,【方向・到達】…へ［に］、…のほうへ［に］,1,34,U3-2,
302,on,前,【日時】（曜日など）…に,1,35,U3-2,
303,do,動,（…を）する、行う,1,35,U3-2,
304,Japanese,名,日本語、日本人,1,35,U3-2,
305,hallway,名,ろうか,1,36,U3-3,
306,win,動,（…に）勝つ,1,36,U3-3,
307,next,形,次の、今度の、となりの,1,36,U3-3,
308,luck,名,運、幸運,1,36,U3-3,
309,near,前,…の近くに［で］,1,37,U3-3,
310,where,副,どこに［で、へ］,1,36,U3-3,
311,practice,動,（ …を）練習する,1,36,U3-3,
312,hard,副,熱心に、一生懸命に,1,36,U3-3,
313,go,動,行く,1,37,U3-3,
314,park,名,公園、遊園地,1,37,U3-3,
315,station,名,駅,1,37,U3-3,
316,under,前,…の下に［で］、…のもとに,1,36,U3-3,
317,Good luck.,連,幸運を祈ります。がんばって。,1,36,U3-3,
318,when’s,短,when is,1,37,U3-3,
319,where’s,短,where is,1,37,U3-3,
320,month,名,（暦の上での）月、1か月,1,37,U3-3,
321,date,名,日、日付,1,37,U3-3,
322,January,名,1月,1,37,U3-3,
323,February,名,2月,1,37,U3-3,
324,March,名,3月,1,37,U3-3,
325,April,名,4月,1,37,U3-3,
326,June,名,6月,1,37,U3-3,
327,July,名,7月,1,37,U3-3,
328,August,名,8月,1,37,U3-3,
329,September,名,9月,1,37,U3-3,
330,October,名,10月,1,37,U3-3,
331,November,名,11月,1,37,U3-3,
332,December,名,12月,1,37,U3-3,
333,first,名/形,1日、1番め（の）、最初（の）,1,37,U3-3,
334,second,名/形,2日、2番め（の）,1,37,U3-3,
335,third,名/形,3日、3番め（の）,1,37,U3-3,
336,fourth,名/形,4日、4番め（の）,1,37,U3-3,
337,fifth,名/形,5日、5番め（の）,1,37,U3-3,
338,sixth,名/形,6日、6番め（の）,1,37,U3-3,
339,seventh,名/形,7日、7番め（の）,1,37,U3-3,
340,eighth,名/形,8日、8番め（の）,1,37,U3-3,
341,ninth,名/形,9日、9番め（の）,1,37,U3-3,
342,tenth,名/形,10日、10番め（の）,1,37,U3-3,
343,eleventh,名/形,11日、11番め（の）,1,37,U3-3,
344,twelfth,名/形,12日、12番め（の）,1,37,U3-3,
345,thirteenth,名/形,13日、13番め（の）,1,37,U3-3,
346,fourteenth,名/形,14日、14番め（の）,1,37,U3-3,
347,fifteenth,名/形,15日、15番め（の）,1,37,U3-3,
348,sixteenth,名/形,16日、16番め（の）,1,37,U3-3,
349,seventeenth,名/形,17日、17番め（の）,1,37,U3-3,
350,eighteenth,名/形,18日、18番め（の）,1,37,U3-3,
351,nineteenth,名/形,19日、19番め（の）,1,37,U3-3,
352,twentieth,名/形,20日、20番め（の）,1,37,U3-3,
353,thirtieth,名/形,30日、30番め（の）,1,37,U3-3,
354,in,前,【場所・位置】…（の中）に［で、の］,1,36,U3-3,
355,game,名,試合、競技,1,36,U3-3,
357,see,動,…が見える、…を見る、見物する,1,37,U3-3,
358,at,前,【場所】…に、…で,1,37,U3-3,
359,is,動,（he she itなど）（…に）いる、ある,1,37,U3-3,
360,by,前,【場所】…のそばに,1,36,U3-3,
361,on,前,【場所】…（の上）に［で］,1,36,U3-3,
362,sister,名,姉、妹、姉妹,1,38,SaL3,
363,car,名,車、自動車,1,38,SaL3,
364,girl,名,女の子、少女,1,38,SaL3,
365,small,形,小さい,1,38,SaL3,
366,boy,名,男の子、少年,1,38,SaL3,
367,mouse,名,ネズミ、ハツカネズミ,1,38,SaL3,
368,brown,名/形,茶色（の）,1,38,SaL3,
369,water,名,水,1,38,SaL3,
370,T-shirt,名,Tシャツ,1,38,SaL3,
371,star,名,星,1,38,SaL3,
372,round,形,丸い、球形の,1,38,SaL3,
373,baseball,名,野球,1,38,SaL3,
374,summer,名,夏,1,38,SaL3,
375,winter,名,冬,1,38,SaL3,
376,house,名,家、住宅,1,38,SaL3,
377,town,名,町,1,38,SaL3,
378,sound,名,音,1,38,SaL3,
379,mother,名,母、お母さん,1,38,SaL3,
380,enjoy,動,…を楽しむ,1,38,SaL3,
381,fall,名,秋,1,38,SaL3,
382,party,名,パーティー,1,38,SaL3,
383,bake,動,（パンなど）を焼く,1,39,SaL3,
384,ball,名,ボール、球,1,39,SaL3,
385,birthday,名,誕生日,1,39,SaL3,
386,New Zealand,名,ニュージーランド,1,44,U4-1,
387,puppy,名,子イヌ,1,44,U4-1,
389,someday,副,いつか,1,44,U4-1,
391,they,代,彼らは［が］、彼女らは［が］、それらは［が］,1,45,U4-1,
392,animal,名,動物,1,44,U4-1,
393,visit,動,（人・場所）を訪ねる,1,44,U4-1,
394,Japan,名,日本,1,44,U4-1,
395,many,形,［ 数えられる名詞の複数形につけて］たくさんの、多くの,1,45,U4-1,
396,one of,連,…の1つ［1人］,1,44,U4-1,
397,a lot of,連,たくさんの、多数の,1,45,U4-1,
398,How many ...?,連,どれくらい多くの、いくつの,1,45,U4-1,
399,they’re,短,they are,1,45,U4-1,
400,really,副,本当に、実際に,1,44,U4-1,
401,family,名,家族,1,44,U4-1,
403,how,副,【程度】どれくらい,1,45,U4-1,
404,so,副,とても、非常に,1,45,U4-1,
405,noon,名,正午、真昼,1,46,U4-2,
406,last,形,最後の、最終の,1,46,U4-2,
407,like,前,…のような、…に似た、…らしい,1,47,U4-2,
408,o’clock,副,…時,1,46,U4-2,
409,time,名,時刻,1,46,U4-2,
410,afternoon,名,午後,1,46,U4-2,
411,sport,名,スポーツ,1,46,U4-2,
412,a.m.,副,（記号）午前,1,46,U4-2,
413,p.m.,副,（記号）午後,1,46,U4-2,
414,basketball,名,バスケットボール,1,47,U4-2,
415,Sounds ....,連,…そうですね。,1,47,U4-2,
416,what,形,何の、どんな,1,46,U4-2,
417,sound,動,…に聞こえる、思える,1,47,U4-2,
419,this,代,今、今回,1,46,U4-2,
420,class,名,授業,1,46,U4-2,
421,front,名,前、正面,1,48,U4-3,
422,be,動,（原形）…である、…になる,1,48,U4-3,
423,nervous,形,緊張して,1,48,U4-3,
424,worry,動,心配する、悩む,1,48,U4-3,
425,yourself,代,あなた自身を［に］,1,48,U4-3,
426,sheep,名,ヒツジ,1,49,U4-3,
427,kiwi,名,キーウィ［動物名］,1,49,U4-3,
428,right,形,正しい、正確な,1,49,U4-3,
429,turn,名,順番、番,1,48,U4-3,
430,please,副,どうぞ、お願いします、すみませんが,1,48,U4-3,
431,look,動,見る、目を向ける,1,49,U4-3,
432,enjoy oneself,連,（連語）楽しむ、楽しく過ごす,1,48,U4-3,
433,look at,連,（連語）…を見る,1,49,U4-3,
435,it,代,それを［に］,1,48,U4-3,
439,we,代,人は、われわれはみな［自分を含めた人々をさす］,1,49,U4-3,
441,long,形,長い,1,50,SaL4,
442,song,名,歌,1,50,SaL4,
443,fine,形,（人が）元気な,1,50,SaL4,
444,pet,名,ペット、愛がん動物,1,50,SaL4,
445,stop,動,とまる、停止する,1,50,SaL4,
446,eat,動,…を食べる、食事をする,1,50,SaL4,
447,sad,形,悲しい,1,50,SaL4,
448,eel,名,ウナギ,1,50,SaL4,
449,gift,名,贈り物,1,50,SaL4,
450,man,名,男性、男の人,1,50,SaL4,
451,bench,名,ベンチ,1,50,SaL4,
452,picture,名,絵、絵画、写真,1,51,SaL4,
453,basket,名,かご、ざる、バスケット,1,51,SaL4,
454,kitchen,名,台所、キッチン,1,51,SaL4,
455,table,名,テーブル,1,51,SaL4,
456,all,代,全部、全員、全て、みな,1,51,SaL4,
457,poster,名,ポスター、広告,1,54,SA1,
458,age,名,年齢,1,55,SA1,
459,movie,名,映画,1,55,SA1,
460,student,名,学生、生徒,1,55,SA1,
461,much,副,［動詞を修飾して］おおいに、たいへん,1,55,SA1,
462,starter,名,先発メンバー,1,55,SA1,
463,famous,形,有名な,1,55,SA1,
464,tell,動,…に（～を）話す、教える,1,55,SA1,
465,elementary school,名,小学校,1,55,SA1,
466,subject,名,教科、科目,1,55,SA1,
467,junior high school,名,中学校,1,55,SA1,
468,every,形,毎…、…ごとに,1,55,SA1,
469,big,形,重要な、すごい,1,55,SA1,
470,player,名,競技者、選手,1,55,SA1,
471,very much,連,とても、たいへん,1,55,SA1,
472,every day,連,毎日,1,55,SA1,
473,favorite,名,大好きなもの［人］,1,55,SA1,
475,as,前,…として,1,62,U5-1,
476,tour,名,旅行、ツアー、見学,1,62,U5-1,
477,guide,名,ガイド、案内人,1,62,U5-1,
478,write,動,（…を）書く,1,63,U5-1,
479,blog,名,ブログ,1,63,U5-1,
480,local,形,（ある）地方の、地元の,1,63,U5-1,
481,beautiful,形,美しい,1,63,U5-1,
482,spot,名,地点、場所,1,63,U5-1,
483,his,代,彼の,1,63,U5-1,
484,brother,名,兄、弟、兄弟,1,62,U5-1,
487,work,動,働く、作業をする,1,62,U5-1,
488,nature,名,自然,1,63,U5-1,
489,... year(s) old,連,…歳、創立…年,1,62,U5-1,
490,enjoy ...ing,連,…して楽しむ,1,63,U5-1,
491,any,形,［疑問文などで］いくらかの、何らかの,1,64,U5-2,
493,has,助/動,haveの三人称単数現在形,1,64,U5-2,
494,there,副,そこに［で、へ］,1,65,U5-2,
495,surf,動,サーフィン［波乗り］をする,1,65,U5-2,
496,life,名,生活、暮らし,1,65,U5-2,
497,question,名,質問、疑問,1,64,U5-2,
498,weekend,名,週末,1,64,U5-2,
499,swim,動,泳ぐ,1,65,U5-2,
500,sometimes,副,ときどき,1,65,U5-2,
501,dolphin,名,イルカ,1,65,U5-2,
502,doesn’t,短,does not,1,64,U5-2,
504,cafe,名,喫茶店、カフェ,1,66,U5-RT,
505,website,名,ウェブサイト,1,66,U5-RT,
506,popular,形,人気のある,1,66,U5-RT,
507,owner,名,所有者、持ち主,1,66,U5-RT,
508,know,動,（…を）知っている、わかる,1,66,U5-RT,
509,patty,名,パティ（ひき肉などを丸く平たい形にして焼いたもの）,1,66,U5-RT,
510,fried,形,油であげた、油でいためた,1,66,U5-RT,
511,top,名,表面、上部,1,66,U5-RT,
512,wonderful,形,すばらしい、すてきな,1,66,U5-RT,
513,restaurant,名,レストラン,1,66,U5-RT,
514,friendly,形,好意的な、親切な,1,66,U5-RT,
515,dish,名,料理、（料理の）1品,1,66,U5-RT,
516,fried egg ,連,目玉焼き,1,66,U5-RT,
517,on top of,連,（連語）…の上に,1,66,U5-RT,
518,him,代,彼を［に］,1,72,U6-1,
519,say,動,（…を）言う、…だと言う,1,72,U6-1,
520,everything,代,何でも、全てのもの［こと］,1,72,U6-1,
521,show,名,ショー,1,72,U6-1,
522,her,代,彼女を［に］,1,73,U6-1,
523,performer,名,演技者,1,73,U6-1,
524,U.K.,名,（theをつけて）英国,1,73,U6-1,
525,together,副,いっしょに、ともに,1,73,U6-1,
526,let's,短,…しよう,1,72,U6-1,
527,Why don’t we ...?,連,…しませんか。,1,73,U6-1,
528,how’s,短,how is,1,72,U6-1,
530,fine,形,けっこうな,1,72,U6-1,
531,for,前,【用途・適合】…するための、…に適した、…向けの,1,72,U6-1,
533,see,動,…に会う,1,73,U6-1,
534,minute,名,（時間の単位の）分,1,74,U6-2,
535,wait,動,待つ,1,74,U6-2,
536,whose,代,だれの、だれのもの,1,74,U6-2,
537,yours,代,あなた（たち）のもの,1,74,U6-2,
538,mine,代,私のもの,1,74,U6-2,
539,maybe,副,たぶん、もしかすると,1,74,U6-2,
540,careful,形,注意深い,1,74,U6-2,
541,crowded,形,こみ合った、満員の,1,75,U6-2,
542,history,名,歴史,1,75,U6-2,
543,still,副,まだ、今でも,1,75,U6-2,
544,over,前,…より多く、…をこえて,1,75,U6-2,
545,start,動,始まる、出発する、開始する,1,74,U6-2,
546,ticket,名,切符、チケット,1,74,U6-2,
547,Riko's,代,［名詞の所有格］理子の,1,74,U6-2,
548,Thanks.,連,ありがとう。,1,74,U6-2,
549,be careful with,連,…のあつかいに気をつける,1,74,U6-2,
550,How old ...?,連,何歳で、作られてからどれくらいで,1,75,U6-2,
554,here,副,ここに［で、へ］,1,75,U6-2,
555,well,間,ええと、そうですね,1,75,U6-2,
556,cushion,名,クッション、ざぶとん,1,76,U6-RT,
557,different,形,いろいろな,1,76,U6-RT,
558,role,名,役、役割,1,76,U6-RT,
559,use,動,…を使う、利用する、消費する,1,76,U6-RT,
560,only,副,ただ…だけ,1,76,U6-RT,
561,prop,名,小道具,1,76,U6-RT,
562,which,代,どちら、どれ、どちらの人［もの］,1,76,U6-RT,
563,or,接,…かまたは～、…や～,1,76,U6-RT,
564,casual,形,カジュアルな、くだけた、ふだん着の,1,76,U6-RT,
565,large,形,多い、多数の,1,76,U6-RT,
566,collection,名,収集したもの、コレクション,1,76,U6-RT,
567,hand,名,手,1,76,U6-RT,
568,towel,名,タオル、手拭い,1,76,U6-RT,
569,wear,動,…を着ている、身につけている,1,76,U6-RT,
570,clothes,名,［複数あつかい］衣服,1,76,U6-RT,
573,play,動,（役）を演じる,1,76,U6-RT,
574,open,動,（ …を）開く、あける,1,79,RLE2,
575,close,動,…を閉じる、終える,1,79,RLE2,
576,window,名,窓,1,79,RLE2,
577,sure,副,［返事で］もちろん、いいとも,1,79,RLE2,
